"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","4,115,279","±6,194","577,598","±2,016","6,049,109","±5,095","2,452,773","±3,564","31,584,340","±10,617","4,818,044","±4,403","2,987,218","±3,087","846,414","±1,727","564,543","±1,612","18,768,460","±9,654","8,818,867","±7,395","1,172,357","±1,789","1,558,313","±2,385","10,192,179","±6,071","5,470,753","±6,083","2,570,587","±3,415","2,339,516","±3,580","3,633,664","±4,127","3,635,137","±6,171","1,180,683","±2,191","4,979,552","±5,559","5,828,175","±4,559","8,186,295","±5,916","4,602,443","±3,997","2,354,139","±3,683","4,997,010","±5,709","924,869","±1,929","1,558,006","±2,929","2,594,279","±3,364","1,184,596","±2,143","7,520,182","±4,811","1,723,938","±3,119","16,085,030","±7,996","8,792,430","±7,482","622,500","±2,487","9,520,298","±6,597","3,201,739","±3,018","3,506,067","±4,439","10,658,635","±5,710","916,988","±2,254","4,370,726","±4,698","725,788","±1,925","5,747,865","±6,862","23,857,262","±12,146","2,600,950","±3,220","547,286","±1,485","7,066,427","±5,678","6,357,108","±5,441","1,464,056","±2,520","4,822,901","±4,233","469,355","±1,627","2,777,060","±3,636"
"    In labor force:","2,410,315","±14,067","385,948","±4,679","3,674,799","±19,038","1,441,034","±12,153","20,298,562","±45,624","3,322,899","±13,656","1,983,295","±10,223","526,726","±7,027","410,840","±6,721","11,267,928","±39,857","5,652,842","±26,923","738,940","±7,240","976,225","±8,516","6,665,114","±22,580","3,521,827","±17,645","1,703,217","±11,392","1,549,558","±11,082","2,190,697","±12,133","2,153,263","±17,230","733,298","±7,658","3,360,696","±18,725","3,917,076","±18,999","5,053,867","±18,528","3,146,576","±12,777","1,355,540","±14,788","3,195,524","±18,531","582,371","±6,692","1,075,249","±6,932","1,646,984","±12,316","787,493","±6,289","5,032,256","±19,205","1,010,975","±11,038","10,132,536","±32,611","5,555,824","±23,544","432,302","±5,756","6,042,703","±21,814","1,958,603","±10,852","2,193,069","±15,118","6,690,945","±23,307","592,054","±7,180","2,671,185","±18,935","488,674","±5,865","3,603,424","±15,333","15,735,802","±38,600","1,825,335","±9,616","355,375","±5,248","4,611,949","±18,178","4,136,441","±18,896","795,817","±8,496","3,146,602","±12,580","298,221","±4,856","1,307,588","±14,663"
"        Civilian labor force:","2,394,000","±14,439","362,965","±5,641","3,648,728","±19,228","1,435,261","±12,085","20,137,422","±44,866","3,276,030","±14,932","1,974,868","±10,240","522,421","±7,100","406,660","±6,670","11,191,144","±40,194","5,593,945","±26,464","692,259","±7,600","971,173","±8,502","6,642,661","±22,778","3,515,202","±17,935","1,701,453","±11,418","1,527,460","±11,005","2,174,801","±12,440","2,135,043","±16,911","731,851","±7,638","3,326,225","±18,548","3,908,554","±19,234","5,048,334","±18,522","3,143,975","±12,566","1,343,059","±14,987","3,180,243","±18,553","578,080","±6,597","1,069,514","±6,878","1,631,003","±11,930","786,023","±6,261","5,023,152","±19,143","995,436","±11,585","10,107,326","±32,696","5,449,906","±23,652","422,155","±5,799","6,027,500","±21,825","1,936,559","±11,093","2,190,250","±15,357","6,683,272","±23,669","587,754","±7,262","2,629,504","±19,195","485,323","±5,982","3,584,501","±15,896","15,612,815","±39,437","1,818,709","±9,937","355,022","±5,205","4,482,631","±19,096","4,069,534","±19,642","793,158","±8,525","3,143,490","±12,451","294,568","±4,958","1,305,263","±14,505"
"            Employed","2,297,941","±15,059","345,460","±5,852","3,493,543","±21,400","1,375,551","±13,040","19,026,566","±48,244","3,151,694","±15,399","1,884,125","±12,066","504,329","±7,587","385,274","±6,981","10,731,195","±41,924","5,346,554","±26,394","667,835","±7,985","936,279","±8,650","6,329,130","±24,465","3,387,230","±18,934","1,654,280","±12,938","1,477,593","±11,579","2,085,354","±13,778","2,030,949","±16,853","708,660","±7,771","3,194,028","±19,430","3,754,447","±20,210","4,822,997","±18,892","3,048,320","±11,928","1,278,422","±14,795","3,071,350","±20,803","562,372","±6,761","1,041,138","±7,865","1,556,587","±12,769","765,872","±6,543","4,785,505","±20,379","947,670","±12,381","9,600,693","±31,513","5,230,146","±24,919","410,066","±6,033","5,784,101","±22,425","1,847,746","±11,944","2,099,913","±15,332","6,400,011","±27,320","559,742","±7,259","2,516,719","±19,941","472,581","±5,879","3,442,420","±16,984","14,926,761","±39,448","1,758,060","±10,121","345,752","±5,298","4,318,000","±18,751","3,887,150","±18,831","757,305","±9,036","3,056,531","±12,997","285,046","±4,924","1,185,629","±15,780"
"            Unemployed","96,059","±6,873","17,505","±2,249","155,185","±7,917","59,710","±4,983","1,110,856","±16,317","124,336","±6,619","90,743","±6,965","18,092","±2,656","21,386","±3,245","459,949","±16,198","247,391","±10,099","24,424","±2,529","34,894","±2,942","313,531","±11,768","127,972","±7,054","47,173","±4,022","49,867","±4,258","89,447","±6,222","104,094","±6,195","23,191","±2,521","132,197","±7,327","154,107","±7,252","225,337","±8,515","95,655","±5,255","64,637","±4,518","108,893","±6,726","15,708","±2,157","28,376","±3,227","74,416","±4,864","20,151","±2,459","237,647","±9,767","47,766","±4,340","506,633","±15,935","219,760","±9,059","12,089","±2,464","243,399","±10,300","88,813","±4,636","90,337","±5,409","283,261","±10,567","28,012","±3,607","112,785","±6,026","12,742","±2,062","142,081","±7,609","686,054","±17,912","60,649","±4,182","9,270","±1,523","164,631","±7,975","182,384","±8,438","35,853","±3,123","86,959","±5,100","9,522","±1,825","119,634","±8,331"
"        Armed Forces","16,315","±2,229","22,983","±3,148","26,071","±3,855","5,773","±1,312","161,140","±7,297","46,869","±4,354","8,427","±1,544","4,305","±1,173","4,180","±876","76,784","±5,676","58,897","±4,178","46,681","±2,770","5,052","±1,098","22,453","±2,320","6,625","±1,844","1,764","±666","22,098","±2,184","15,896","±1,977","18,220","±2,523","1,447","±549","34,471","±3,839","8,522","±1,956","5,533","±1,385","2,601","±1,087","12,481","±1,597","15,281","±2,287","4,291","±1,093","5,735","±1,292","15,981","±2,015","1,470","±821","9,104","±1,442","15,539","±2,402","25,210","±2,507","105,918","±4,585","10,147","±2,031","15,203","±2,970","22,044","±1,959","2,819","±967","7,673","±1,645","4,300","±999","41,681","±3,234","3,351","±847","18,923","±3,248","122,987","±7,964","6,626","±1,489","353","±243","129,318","±5,950","66,907","±4,306","2,659","±1,015","3,112","±723","3,653","±1,022","2,325","±1,027"
"    Not in labor force","1,704,964","±14,531","191,650","±4,136","2,374,310","±19,913","1,011,739","±11,778","11,285,778","±48,348","1,495,145","±13,868","1,003,923","±10,238","319,688","±7,649","153,703","±6,924","7,500,532","±40,565","3,166,025","±25,025","433,417","±7,487","582,088","±8,659","3,527,065","±22,774","1,948,926","±18,224","867,370","±10,786","789,958","±11,764","1,442,967","±12,523","1,481,874","±17,875","447,385","±7,187","1,618,856","±18,804","1,911,099","±18,345","3,132,428","±17,211","1,455,867","±12,728","998,599","±14,339","1,801,486","±17,177","342,498","±6,587","482,757","±7,825","947,295","±12,619","397,103","±6,320","2,487,926","±19,641","712,963","±11,117","5,952,494","±31,924","3,236,606","±23,761","190,198","±5,392","3,477,595","±21,487","1,243,136","±10,921","1,312,998","±15,419","3,967,690","±24,322","324,934","±7,455","1,699,541","±18,957","237,114","±5,532","2,144,441","±15,343","8,121,460","±41,778","775,615","±10,004","191,911","±5,282","2,454,478","±18,615","2,220,667","±18,984","668,239","±8,803","1,676,299","±12,957","171,134","±4,856","1,469,472","±15,496"
