"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            12 to 14 years","18,940","±2,734","2,318","±892","19,662","±2,920","12,913","±2,195","109,036","±7,156","12,412","±2,529","8,434","±2,202","2,774","±1,223","2,007","±1,120","52,892","±5,625","37,363","±4,940","3,998","±1,436","3,033","±807","34,330","±4,690","21,356","±3,295","5,098","±1,040","7,906","±1,784","17,729","±2,800","23,290","±3,503","2,827","±1,155","12,027","±2,746","14,597","±2,420","26,678","±3,266","10,100","±1,900","14,375","±2,699","15,522","±2,722","2,382","±779","3,591","±896","7,541","±2,103","2,295","±863","20,643","±3,283","9,028","±1,624","61,277","±5,012","30,022","±3,675","1,806","±919","36,241","±3,608","15,583","±1,898","11,502","±2,481","33,921","±3,610","2,093","±1,141","18,029","±3,280","1,935","±701","22,504","±3,677","111,475","±8,135","6,876","±1,774","451","±262","19,303","±2,925","13,242","±2,116","4,896","±1,238","10,471","±1,692","1,095","±500","28,806","±3,815"
"            15 years","5,595","±1,409","232","±119","9,731","±1,987","3,609","±1,210","38,897","±3,511","4,843","±1,204","1,808","±675","523","±456","701","±863","18,000","±2,865","12,663","±2,456","1,071","±614","1,032","±474","10,240","±1,919","7,908","±1,681","2,004","±697","3,574","±1,090","6,164","±1,602","5,103","±1,324","757","±360","4,243","±1,520","5,588","±1,359","12,086","±1,968","2,930","±792","5,042","±1,442","5,666","±1,581","1,046","±552","949","±506","3,144","±1,249","471","±325","8,610","±1,754","3,283","±952","24,983","±3,077","13,326","±2,572","733","±639","14,609","±2,498","5,050","±911","3,943","±1,263","12,349","±2,218","1,085","±1,063","7,862","±1,812","802","±695","6,713","±1,708","42,050","±4,200","2,747","±1,054","261","±225","8,010","±1,981","6,439","±1,652","1,122","±576","5,100","±1,203","170","±160","9,597","±1,943"
"            16 and 17 years","11,873","±2,116","1,008","±581","14,388","±2,652","8,846","±2,069","76,949","±4,669","7,321","±1,897","7,050","±2,081","1,404","±687","597","±510","30,236","±3,968","26,203","±3,373","1,330","±616","3,036","±1,278","23,643","±3,127","13,313","±2,196","5,505","±1,102","3,151","±1,074","10,666","±1,732","14,262","±2,801","1,976","±718","8,890","±1,800","9,002","±1,682","19,400","±2,570","8,365","±1,511","8,514","±1,587","10,974","±1,897","1,525","±480","3,147","±993","4,786","±1,506","2,178","±1,040","16,294","±3,185","6,926","±1,657","40,128","±4,339","18,873","±2,822","1,657","±617","23,626","±2,769","8,959","±1,239","6,642","±1,494","16,392","±2,125","1,516","±765","10,981","±2,048","1,233","±414","16,719","±2,778","68,551","±5,253","6,509","±1,514","815","±407","12,966","±2,196","10,473","±1,742","3,573","±1,295","7,441","±1,339","1,123","±676","16,240","±2,476"
"            18 to 24 years","57,837","±4,702","4,168","±1,075","57,717","±5,998","30,476","±3,282","303,611","±12,012","47,827","±5,181","20,997","±3,169","6,956","±1,518","7,948","±2,153","149,457","±7,940","102,393","±6,321","7,309","±1,644","16,258","±2,092","99,596","±5,508","71,147","±4,891","33,752","±2,749","30,161","±3,293","52,673","±3,910","60,190","±5,575","6,397","±1,479","39,182","±4,668","46,527","±5,241","95,898","±6,104","46,767","±4,809","27,295","±3,945","53,010","±3,623","12,383","±1,753","18,866","±2,544","18,337","±3,013","6,061","±1,159","42,233","±4,612","21,438","±3,041","155,764","±8,706","90,930","±6,382","9,966","±1,665","108,558","±6,002","47,157","±2,819","39,251","±4,088","98,627","±5,594","6,338","±1,571","51,119","±4,797","8,814","±1,785","62,453","±4,878","296,425","±11,649","33,825","±3,944","4,631","±1,420","64,177","±4,746","55,083","±3,851","19,376","±2,327","55,256","±4,589","6,249","±1,565","62,181","±4,716"
"            25 to 34 years","60,155","±5,504","6,531","±1,411","62,648","±5,656","32,571","±3,475","334,406","±12,001","39,313","±3,555","28,196","±3,124","7,633","±1,721","6,716","±1,895","189,097","±10,379","117,991","±7,169","8,536","±1,389","16,225","±2,026","109,527","±6,334","64,675","±4,910","26,523","±3,235","24,353","±3,127","56,581","±4,021","68,178","±5,249","12,058","±1,902","42,862","±3,357","50,195","±3,604","97,399","±5,620","37,443","±2,810","37,333","±4,301","50,951","±4,347","8,417","±1,505","16,538","±2,333","31,464","±3,369","6,297","±1,348","64,623","±4,752","28,529","±3,211","199,478","±7,642","102,978","±5,799","5,202","±1,287","121,804","±5,013","50,253","±2,956","39,130","±4,011","117,051","±5,770","10,072","±2,075","55,812","±5,162","7,798","±1,735","73,524","±6,046","317,075","±11,871","21,900","±2,470","4,825","±1,134","70,267","±4,898","68,783","±4,926","20,842","±2,360","41,753","±3,468","5,551","±1,447","85,406","±5,539"
"            35 to 44 years","52,021","±5,291","4,377","±888","56,274","±5,150","35,023","±3,655","323,775","±11,012","29,714","±3,373","25,520","±2,835","7,199","±1,664","4,853","±1,695","180,956","±9,112","104,326","±6,265","9,798","±1,994","12,016","±2,018","92,837","±6,248","54,469","±4,751","22,916","±2,519","21,221","±2,214","45,253","±3,734","62,277","±5,431","8,919","±1,623","37,041","±3,547","49,402","±4,244","89,224","±5,015","33,016","±2,781","35,351","±3,837","42,445","±3,711","9,473","±1,923","10,588","±1,768","27,052","±3,444","6,182","±1,804","63,889","±4,736","25,851","±2,822","179,723","±8,472","93,067","±5,839","2,552","±651","99,174","±5,444","41,243","±2,821","32,616","±3,422","93,922","±4,742","7,948","±1,941","44,859","±3,907","6,003","±1,278","63,337","±3,901","280,006","±10,345","19,476","±2,345","3,711","±952","55,786","±4,619","59,413","±4,445","19,873","±2,909","36,655","±3,312","3,031","±878","76,566","±4,167"
"            45 to 54 years","39,898","±4,053","3,682","±832","44,259","±4,338","21,599","±2,536","236,693","±8,036","25,863","±2,983","17,221","±2,642","3,193","±942","3,320","±1,082","131,491","±8,577","68,166","±4,869","7,832","±1,512","6,132","±1,214","69,741","±4,700","37,529","±3,295","12,987","±1,775","13,712","±1,796","39,056","±2,813","41,720","±3,577","8,698","±1,854","31,463","±3,977","41,432","±4,063","60,648","±4,261","20,457","±2,457","30,750","±3,338","34,293","±3,009","5,095","±1,168","7,553","±1,390","19,166","±2,626","5,028","±1,287","46,608","±3,942","15,748","±2,099","136,115","±7,315","67,641","±4,743","3,171","±936","69,729","±4,806","29,843","±2,120","23,735","±2,589","71,961","±4,583","6,208","±1,645","38,040","±3,671","5,441","±1,344","50,688","±4,542","185,206","±8,165","9,626","±1,856","2,872","±729","43,454","±3,763","38,151","±4,159","16,173","±1,950","25,066","±2,308","2,588","±819","73,340","±4,460"
"            55 to 64 years","48,695","±3,400","3,626","±955","54,988","±4,194","29,800","±2,634","248,485","±8,045","28,945","±3,163","24,609","±3,531","8,841","±1,612","7,461","±1,629","179,532","±6,870","82,057","±4,967","7,369","±1,284","11,329","±1,571","83,581","±5,727","50,704","±3,289","17,575","±1,893","15,202","±1,672","48,980","±3,423","51,175","±4,107","10,493","±1,785","39,306","±3,328","44,172","±3,323","84,745","±4,316","27,157","±2,376","34,173","±2,890","50,473","±3,693","7,956","±1,285","7,984","±1,246","24,715","±2,841","7,433","±1,491","57,147","±4,046","21,188","±2,315","167,522","±6,613","78,438","±4,489","4,233","±1,116","93,572","±5,212","35,040","±1,984","31,991","±3,196","101,182","±5,532","7,949","±1,665","48,298","±3,787","4,858","±1,109","59,607","±3,637","202,650","±7,464","11,513","±2,001","3,080","±741","50,958","±3,552","48,192","±3,734","21,927","±2,130","36,285","±2,855","5,202","±1,354","89,958","±4,144"
"            65 to 74 years","39,544","±3,048","2,116","±562","48,571","±3,745","21,439","±2,138","223,977","±7,913","29,126","±2,931","17,863","±2,366","4,705","±1,124","5,192","±1,143","173,056","±7,678","69,869","±4,617","7,016","±1,252","9,076","±1,458","74,822","±4,360","36,846","±3,090","15,354","±1,608","14,049","±1,714","33,355","±2,286","39,030","±2,774","9,315","±1,532","28,870","±2,928","44,300","±3,698","62,573","±3,173","25,405","±1,963","25,373","±2,598","39,031","±2,767","8,466","±1,396","11,471","±1,465","15,614","±2,156","7,502","±1,431","52,313","±3,830","18,229","±1,962","154,281","±7,105","71,491","±4,315","4,019","±744","79,585","±4,454","24,510","±1,798","26,331","±2,204","81,698","±4,764","7,944","±1,521","38,482","±2,687","4,396","±1,028","48,822","±3,216","162,365","±8,234","11,295","±1,542","4,585","±911","45,654","±3,524","42,028","±3,601","15,839","±1,809","35,339","±2,698","2,573","±774","81,379","±4,095"
"            75 years and over","29,113","±2,308","1,662","±400","47,511","±3,473","18,710","±2,325","226,898","±7,078","22,757","±2,221","20,299","±2,400","5,089","±990","3,487","±952","175,604","±6,707","55,646","±3,901","9,735","±1,650","9,036","±1,230","65,052","±4,133","32,771","±2,526","16,864","±1,775","13,900","±1,653","28,693","±2,600","31,657","±2,397","8,684","±1,124","34,500","±2,991","41,144","±3,467","55,931","±2,877","31,203","±2,786","22,472","±2,323","34,785","±2,303","5,034","±775","9,541","±1,167","14,429","±2,013","6,454","±1,279","53,831","±3,815","15,784","±2,139","159,296","±6,405","59,283","±3,606","4,882","±1,002","63,101","±3,421","21,458","±1,624","24,298","±2,141","81,861","±3,876","7,086","±1,182","31,560","±2,976","4,823","±866","40,398","±3,035","142,665","±6,595","8,886","±1,503","3,800","±783","40,381","±2,982","34,920","±3,101","11,208","±1,473","30,440","±2,173","1,706","±563","99,396","±4,475"
"    Income in the past 12 months at or above poverty level:","4,187,673","±23,832","642,950","±6,119","6,368,711","±32,310","2,513,734","±19,406","33,660,999","±72,449","5,220,607","±23,054","3,159,928","±18,162","900,995","±10,131","558,370","±10,112","19,409,941","±62,229","9,303,921","±38,365","1,256,607","±10,577","1,721,647","±12,945","10,841,503","±29,958","5,850,808","±25,187","2,757,446","±14,711","2,534,907","±15,278","3,681,843","±20,917","3,607,973","±26,970","1,214,962","±8,661","5,474,505","±21,435","6,073,642","±25,190","8,500,575","±27,865","5,097,345","±17,023","2,329,507","±21,793","5,305,783","±24,780","978,002","±7,444","1,729,383","±12,633","2,777,344","±20,815","1,264,609","±8,933","8,244,856","±28,416","1,706,447","±18,194","16,365,454","±52,051","9,200,642","±38,885","681,207","±5,308","9,951,916","±35,224","3,306,615","±16,123","3,652,671","±17,433","11,034,808","±35,782","940,940","±10,915","4,504,571","±25,274","786,169","±8,570","5,991,018","±30,041","25,802,708","±75,748","3,058,898","±16,070","563,957","±4,977","7,608,388","±26,418","6,884,399","±26,122","1,430,372","±11,981","5,164,640","±19,164","506,719","±6,350","1,920,040","±26,894"
"        Male:","2,062,238","±11,957","335,100","±4,357","3,193,457","±18,148","1,257,086","±12,009","16,933,089","±36,063","2,657,961","±13,269","1,568,236","±10,519","440,607","±5,570","267,067","±6,384","9,592,567","±31,510","4,570,572","±20,825","629,109","±6,206","875,735","±7,005","5,397,964","±17,956","2,949,083","±14,048","1,392,618","±9,119","1,281,289","±9,976","1,855,445","±12,712","1,797,416","±15,870","604,566","±4,640","2,680,041","±14,397","3,013,882","±14,829","4,249,315","±15,889","2,575,998","±9,628","1,142,877","±12,742","2,640,212","±14,495","499,982","±4,698","873,947","±7,574","1,406,112","±11,489","638,023","±5,117","4,099,626","±17,125","856,602","±10,050","8,103,366","±27,946","4,550,371","±21,929","353,505","±4,470","4,983,699","±19,005","1,662,012","±9,379","1,827,026","±10,928","5,506,210","±18,778","469,751","±6,265","2,209,767","±13,940","403,101","±5,210","2,976,837","±17,165","12,992,738","±40,613","1,557,131","±9,039","282,877","±3,743","3,779,631","±14,539","3,502,059","±16,378","723,676","±7,528","2,604,206","±10,863","259,942","±4,112","941,176","±15,875"
"            Under 5 years","107,986","±4,156","20,466","±1,562","165,082","±3,805","66,813","±3,089","888,806","±9,873","140,293","±4,306","79,580","±2,973","23,656","±1,443","15,894","±1,611","467,807","±8,075","247,376","±6,594","34,734","±1,118","48,450","±2,297","278,976","±5,091","166,960","±4,330","78,157","±2,859","71,076","±2,868","101,686","±3,906","102,597","±5,447","24,860","±1,655","150,136","±4,165","150,324","±3,807","217,719","±4,861","144,718","±3,382","63,516","±4,218","147,155","±4,093","24,232","±1,394","52,576","±2,509","68,625","±3,675","29,604","±1,458","229,966","±4,344","38,570","±2,476","421,061","±8,370","245,919","±5,768","20,376","±1,780","270,330","±5,601","91,791","±2,526","84,072","±2,973","276,369","±6,719","24,024","±1,555","111,471","±3,617","24,168","±1,627","167,702","±5,517","783,118","±9,952","105,329","±2,457","12,469","±1,068","212,370","±4,999","180,420","±4,402","34,625","±2,378","134,387","±2,806","11,751","±1,299","21,634","±2,236"
"            5 years","23,893","±2,550","4,687","±1,088","35,013","±3,534","14,421","±2,001","184,805","±7,550","27,886","±3,171","17,790","±2,636","4,457","±1,585","4,203","±1,996","100,710","±7,465","51,029","±4,448","5,277","±1,120","11,793","±1,907","62,521","±4,766","35,684","±3,208","16,766","±1,910","15,558","±2,180","21,107","±2,444","21,723","±2,593","4,903","±1,093","34,436","±3,596","33,035","±2,858","43,090","±3,470","28,326","±2,544","12,668","±2,106","29,555","±2,911","5,112","±1,306","11,272","±1,814","13,567","±2,441","5,414","±1,272","41,960","±3,557","7,077","±1,737","81,533","±6,032","50,805","±3,947","4,538","±1,075","55,088","±4,123","21,098","±2,098","20,935","±2,595","57,621","±3,949","6,812","±1,820","24,216","±3,191","5,061","±1,022","33,999","±3,936","152,342","±7,996","22,820","±2,405","2,951","±862","41,505","±3,289","39,155","±3,869","5,527","±1,378","28,756","±2,678","2,746","±983","7,353","±1,816"
"            6 to 11 years","141,459","±6,467","26,847","±2,384","224,272","±7,443","92,618","±4,438","1,186,953","±17,414","180,820","±5,680","103,844","±4,725","27,351","±2,250","17,491","±2,033","612,818","±13,139","342,681","±8,861","46,763","±2,927","71,597","±3,910","379,951","±8,966","233,014","±6,597","107,292","±3,445","103,411","±4,166","138,545","±5,085","137,972","±6,350","37,010","±2,257","203,038","±6,936","195,056","±6,026","295,783","±6,056","200,406","±5,516","86,400","±4,446","200,225","±6,270","36,267","±2,544","71,810","±3,399","95,608","±4,797","37,962","±2,701","284,282","±8,138","57,038","±4,149","533,667","±11,983","325,104","±9,019","28,568","±1,983","357,296","±8,939","130,039","±4,707","119,100","±5,092","376,616","±8,485","25,464","±3,075","154,145","±6,951","30,902","±2,634","204,381","±5,848","1,043,139","±14,373","145,414","±4,022","17,060","±1,572","276,793","±8,075","243,472","±8,018","49,033","±3,059","179,628","±4,933","18,966","±2,051","37,355","±4,169"
"            12 to 14 years","87,511","±4,954","14,172","±1,791","117,126","±5,211","53,055","±3,988","675,929","±14,576","97,577","±6,030","53,706","±3,305","16,870","±2,456","8,458","±2,545","317,602","±9,651","189,886","±7,796","24,409","±2,624","36,880","±2,832","216,761","±8,042","114,662","±5,543","53,777","±3,536","55,541","±3,550","67,895","±4,221","69,456","±4,845","20,369","±2,192","106,540","±5,949","100,581","±4,172","155,273","±6,224","104,345","±4,699","45,611","±3,718","102,420","±4,706","20,013","±2,108","39,612","±2,929","56,163","±3,604","23,179","±2,260","164,562","±6,810","32,630","±3,228","291,956","±9,760","170,149","±7,043","14,409","±1,860","186,610","±7,023","68,353","±3,242","68,113","±3,918","191,304","±7,031","17,665","±3,034","82,461","±5,328","18,016","±2,282","111,553","±5,718","565,515","±15,026","74,439","±3,384","10,127","±1,415","146,092","±6,831","132,089","±6,483","24,020","±2,464","96,589","±3,807","10,094","±1,526","22,368","±2,846"
"            15 years","26,474","±3,388","5,310","±1,488","45,471","±3,975","17,982","±2,532","228,155","±7,134","34,582","±2,750","21,239","±1,859","5,488","±1,185","2,002","±993","115,992","±6,878","66,606","±4,145","7,273","±1,170","14,312","±1,721","76,107","±4,135","45,255","±3,858","18,123","±2,113","17,448","±2,030","23,483","±2,453","27,580","±2,647","6,594","±1,025","42,390","±3,501","37,619","±3,359","49,810","±3,407","34,466","±2,158","16,033","±2,266","34,635","±2,713","6,316","±1,386","13,769","±1,574","18,848","±2,417","7,838","±1,572","52,349","±3,454","10,971","±1,599","95,563","±4,981","61,946","±4,910","5,045","±979","69,598","±3,486","24,065","±1,760","21,544","±2,174","69,389","±4,034","5,133","±1,137","30,172","±2,936","6,357","±1,105","44,938","±3,784","186,544","±6,789","26,750","±2,230","3,421","±931","52,875","±3,554","46,502","±3,096","10,144","±1,535","35,328","±2,245","4,907","±1,238","10,801","±2,357"
"            16 and 17 years","56,735","±3,690","8,496","±1,432","86,573","±4,338","37,508","±2,540","457,166","±9,290","71,170","±3,378","41,678","±2,394","12,288","±1,498","4,683","±1,193","229,440","±7,062","139,878","±5,068","13,538","±1,410","28,346","±1,727","146,622","±4,501","83,824","±4,357","39,577","±2,362","39,737","±2,640","52,264","±2,918","50,192","±3,528","14,057","±1,151","73,507","±4,049","77,004","±3,357","116,936","±3,821","70,543","±2,436","38,044","±2,874","76,927","±3,512","12,530","±1,251","26,225","±1,823","36,539","±2,953","14,459","±1,661","110,025","±3,700","20,747","±2,290","197,590","±5,448","122,932","±4,945","8,485","±1,135","132,630","±4,599","49,097","±2,178","45,170","±2,521","142,943","±4,671","10,428","±1,252","56,593","±3,671","10,769","±1,510","76,224","±4,121","391,173","±9,438","53,621","±2,658","7,337","±1,205","103,451","±4,859","87,739","±3,601","18,934","±2,078","72,612","±3,028","6,909","±1,275","19,253","±2,120"
"            18 to 24 years","169,178","±5,016","30,075","±3,600","276,531","±5,140","105,098","±4,384","1,435,659","±11,101","205,127","±5,236","131,298","±3,562","33,449","±1,673","14,835","±1,620","714,243","±9,061","406,353","±6,990","44,796","±2,012","74,387","±2,921","446,583","±5,185","258,710","±5,149","113,192","±3,787","114,974","±3,726","155,042","±4,020","141,529","±5,379","43,040","±2,258","207,525","±4,784","238,467","±4,869","350,220","±6,164","196,767","±4,073","102,069","±4,192","213,905","±6,124","38,660","±2,395","71,478","±3,577","112,330","±3,191","46,726","±2,006","327,366","±3,729","75,369","±3,186","624,210","±9,419","379,009","±7,459","28,340","±2,155","398,193","±6,357","157,301","±4,230","137,513","±3,984","414,574","±5,749","37,035","±1,428","172,762","±5,144","33,410","±2,049","242,216","±6,275","1,177,061","±11,495","162,228","±4,588","20,218","±1,745","298,182","±5,380","267,612","±4,644","57,790","±2,388","209,517","±4,255","19,805","±1,344","93,602","±5,402"
"            25 to 34 years","269,858","±5,189","49,786","±3,284","469,832","±4,884","171,090","±3,534","2,603,039","±9,949","442,281","±4,832","209,648","±3,167","57,462","±1,430","60,269","±2,182","1,263,984","±9,502","650,074","±8,362","84,517","±2,429","117,762","±2,652","760,615","±6,412","400,417","±4,999","183,066","±3,987","169,389","±3,667","256,336","±4,326","241,352","±5,995","74,661","±2,316","353,719","±4,881","442,088","±4,248","592,645","±5,578","348,186","±3,216","138,663","±4,792","355,505","±5,196","65,617","±2,231","118,867","±2,674","207,453","±4,180","84,074","±1,885","544,122","±5,892","121,990","±3,692","1,206,324","±8,437","638,037","±7,662","55,462","±2,307","690,428","±6,015","227,043","±3,429","261,268","±4,360","748,213","±6,612","70,361","±2,188","291,680","±6,428","50,952","±2,176","435,344","±5,743","1,948,602","±12,769","238,526","±3,486","34,814","±1,095","523,937","±6,689","556,683","±4,973","84,414","±3,098","343,459","±3,429","34,254","±2,007","138,456","±6,771"
"            35 to 44 years","278,073","±5,027","50,851","±2,416","425,404","±4,689","172,293","±4,471","2,500,333","±10,578","420,078","±4,579","210,162","±3,398","57,228","±1,660","53,366","±1,081","1,289,750","±10,096","634,984","±7,636","89,704","±1,706","118,047","±2,697","761,042","±6,832","392,333","±4,808","188,686","±3,130","175,097","±3,189","245,227","±3,779","258,095","±5,911","80,115","±1,570","382,502","±4,150","426,960","±4,103","542,073","±4,949","369,553","±3,384","155,345","±4,603","361,248","±4,728","68,582","±1,793","120,171","±2,307","204,053","±3,197","86,405","±1,941","572,606","±5,404","118,344","±4,251","1,133,016","±6,952","611,497","±6,999","53,335","±2,226","655,077","±6,411","229,899","±3,150","272,883","±3,082","744,570","±5,902","67,116","±2,117","298,404","±5,078","53,335","±1,686","410,924","±4,327","1,951,626","±12,020","219,807","±2,914","37,990","±971","549,902","±5,999","537,459","±5,241","89,586","±2,197","344,693","±3,333","39,070","±1,895","129,317","±4,985"
"            45 to 54 years","264,291","±3,870","39,447","±1,949","383,493","±4,414","155,161","±3,459","2,195,481","±8,751","340,237","±3,951","200,155","±2,981","51,222","±1,321","31,954","±1,584","1,224,808","±8,595","611,046","±7,694","76,043","±1,785","106,326","±2,106","701,716","±4,929","374,218","±4,699","171,385","±2,839","152,468","±2,839","239,770","±4,223","215,646","±5,273","75,562","±1,850","349,791","±4,238","383,981","±4,273","528,310","±4,361","318,016","±3,420","146,758","±4,277","326,479","±3,984","59,541","±1,639","102,327","±2,089","184,819","±3,504","79,947","±1,450","552,424","±4,394","102,399","±3,631","1,037,718","±6,165","599,563","±6,769","38,582","±1,391","629,153","±5,683","201,785","±3,194","236,965","±3,230","689,343","±5,295","56,729","±2,039","279,083","±4,222","46,588","±1,733","376,776","±4,182","1,681,044","±11,537","182,865","±3,291","35,467","±1,091","483,314","±5,863","442,579","±4,474","97,511","±2,223","324,935","±2,938","30,576","±1,497","128,991","±3,728"
"            55 to 64 years","270,323","±3,694","38,647","±1,311","373,524","±4,311","154,968","±3,591","2,062,548","±7,731","300,895","±3,526","221,219","±2,898","60,278","±1,697","24,381","±1,461","1,295,178","±7,685","570,294","±4,963","78,474","±1,356","101,428","±1,632","693,612","±4,694","370,678","±3,151","178,721","±2,378","152,484","±2,419","238,096","±3,822","226,984","±3,550","90,879","±1,337","352,752","±3,812","416,167","±3,588","572,220","±4,743","332,467","±3,154","147,065","±2,971","337,926","±3,625","62,341","±1,479","105,800","±1,836","176,057","±2,721","98,021","±1,771","561,968","±4,170","103,521","±2,620","1,102,824","±7,895","585,218","±5,177","40,328","±1,401","658,992","±5,805","194,325","±2,599","219,849","±3,350","758,982","±5,812","66,360","±1,765","292,627","±4,080","51,532","±1,185","384,209","±4,591","1,452,317","±7,517","144,828","±1,950","40,116","±1,316","485,250","±3,934","411,466","±4,971","96,468","±2,112","360,023","±3,131","31,055","±1,069","125,304","±3,689"
"            65 to 74 years","227,541","±2,815","31,178","±936","332,467","±3,706","131,167","±2,613","1,522,277","±7,822","253,095","±2,910","169,030","±2,259","56,466","±1,355","16,979","±1,328","1,095,363","±6,856","418,696","±4,291","71,755","±1,465","92,047","±1,947","544,418","±3,802","297,859","±3,056","154,291","±1,862","134,720","±2,222","199,893","±2,768","195,993","±3,143","82,887","±1,481","260,671","±2,892","317,800","±2,716","491,759","±3,750","270,684","±2,422","122,031","±2,719","281,391","±3,202","63,233","±1,331","88,640","±1,468","139,527","±2,788","79,690","±1,297","411,099","±3,684","101,984","±2,038","843,592","±7,339","471,714","±4,770","34,968","±1,058","556,244","±4,572","166,958","±2,212","207,979","±3,579","645,057","±4,017","52,019","±1,504","256,751","±3,168","48,178","±1,037","304,295","±3,763","1,054,400","±6,890","113,815","±1,749","38,233","±918","371,162","±3,714","347,806","±3,617","95,143","±1,784","303,621","±2,777","32,633","±1,056","107,542","±3,986"
"            75 years and over","138,916","±2,368","15,138","±817","258,669","±2,679","84,912","±1,988","991,938","±5,507","143,920","±2,011","108,887","±2,372","34,392","±956","12,552","±923","864,872","±5,503","241,669","±3,883","51,826","±1,454","54,360","±1,293","329,040","±3,236","175,469","±2,603","89,585","±1,607","79,386","±1,757","116,101","±1,981","108,297","±2,460","49,629","±1,175","163,034","±2,244","194,800","±2,376","293,477","±2,898","157,521","±1,843","68,674","±1,698","172,841","±2,030","37,538","±952","51,400","±1,242","92,523","±1,867","44,704","±1,071","246,897","±3,346","65,962","±1,644","534,312","±5,279","288,478","±3,750","21,069","±717","324,060","±3,579","100,258","±1,668","131,635","±2,179","391,229","±3,348","30,605","±1,690","159,402","±2,369","23,833","±642","184,276","±2,810","605,857","±5,368","66,689","±1,666","22,674","±640","234,798","±3,606","209,077","±2,479","60,481","±1,023","170,658","±2,139","17,176","±964","99,200","±3,359"
"        Female:","2,125,435","±16,525","307,850","±4,050","3,175,254","±18,663","1,256,648","±11,533","16,727,910","±44,186","2,562,646","±13,972","1,591,692","±11,966","460,388","±6,227","291,303","±5,584","9,817,374","±38,484","4,733,349","±24,907","627,498","±6,197","845,912","±8,245","5,443,539","±21,611","2,901,725","±15,519","1,364,828","±8,520","1,253,618","±8,517","1,826,398","±13,977","1,810,557","±17,571","610,396","±6,290","2,794,464","±13,240","3,059,760","±15,086","4,251,260","±18,932","2,521,347","±11,585","1,186,630","±13,560","2,665,571","±15,893","478,020","±4,793","855,436","±7,534","1,371,232","±12,818","626,586","±6,371","4,145,230","±17,641","849,845","±11,127","8,262,088","±30,499","4,650,271","±23,239","327,702","±4,133","4,968,217","±22,254","1,644,603","±10,623","1,825,645","±11,321","5,528,598","±21,099","471,189","±8,180","2,294,804","±16,751","383,068","±5,584","3,014,181","±19,538","12,809,970","±45,213","1,501,767","±9,676","281,080","±3,595","3,828,757","±17,890","3,382,340","±14,956","706,696","±8,034","2,560,434","±12,896","246,777","±3,800","978,864","±15,541"
