"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            25 to 34 years","34,938","±3,934","6,015","±1,469","45,532","±4,193","20,010","±2,726","230,227","±8,125","29,401","±3,399","14,303","±2,611","3,735","±956","5,757","±2,022","122,963","±8,493","71,562","±5,953","7,470","±1,381","9,819","±1,810","67,873","±5,887","36,403","±3,186","16,532","±1,967","16,599","±2,432","34,611","±3,081","35,088","±3,821","7,613","±1,614","28,750","±4,039","37,026","±3,539","63,459","±5,353","23,131","±2,544","19,964","±3,589","39,759","±3,756","7,633","±1,446","9,611","±1,859","19,795","±3,449","5,237","±1,326","39,203","±4,687","15,721","±2,463","129,538","±8,179","58,285","±4,639","5,469","±1,674","74,381","±5,107","31,211","±2,250","33,783","±3,045","68,674","±5,390","5,071","±1,543","30,066","±3,687","5,792","±1,145","41,428","±4,079","196,289","±10,931","18,916","±2,528","2,742","±913","40,103","±4,675","41,723","±4,059","16,545","±2,454","28,652","±2,386","3,318","±1,047","61,358","±5,221"
"            35 to 44 years","31,128","±3,204","5,486","±1,537","38,965","±3,628","19,387","±2,951","249,227","±9,450","28,300","±3,431","18,339","±3,120","4,554","±1,381","2,330","±1,045","132,111","±8,877","58,960","±4,767","6,700","±1,525","9,511","±1,775","65,322","±5,817","37,203","±3,591","14,280","±2,070","14,266","±1,865","29,156","±3,316","34,372","±4,169","5,784","±1,302","25,777","±2,725","31,009","±3,543","59,977","±4,594","23,351","±2,400","23,862","±2,794","29,749","±2,959","7,555","±1,292","9,397","±1,666","19,958","±2,767","5,154","±1,292","42,478","±4,301","18,178","±2,533","128,089","±6,707","58,643","±5,090","2,141","±641","66,428","±5,238","28,517","±2,289","26,511","±2,983","69,220","±5,090","4,813","±1,454","31,988","±3,152","5,879","±1,150","39,093","±3,425","195,257","±9,720","16,957","±2,346","2,602","±630","39,856","±3,941","42,772","±4,094","13,132","±1,775","26,420","±2,535","3,030","±1,064","57,919","±5,208"
"            45 to 54 years","29,449","±2,893","4,186","±886","36,958","±3,733","17,567","±2,412","204,170","±8,446","21,255","±2,877","14,084","±2,418","2,813","±1,012","3,502","±1,562","116,350","±8,812","54,267","±5,304","7,175","±1,407","7,166","±1,390","63,967","±4,658","30,689","±3,033","11,975","±1,958","11,097","±1,766","31,175","±3,244","35,872","±4,802","6,326","±1,476","21,820","±3,722","27,034","±3,585","56,086","±3,433","20,227","±2,519","20,729","±2,518","23,741","±2,550","3,994","±955","8,711","±1,566","14,873","±2,987","3,395","±938","32,300","±3,231","14,729","±2,674","113,327","±5,763","50,966","±3,813","1,656","±552","60,645","±4,969","24,541","±2,178","25,087","±2,978","59,729","±4,782","4,077","±1,397","23,781","±2,666","3,514","±855","42,285","±3,807","150,179","±8,286","10,849","±2,174","3,307","±781","35,578","±3,310","29,812","±3,152","10,875","±1,430","21,103","±2,141","1,718","±640","54,338","±3,928"
"            55 to 64 years","33,823","±3,131","5,387","±970","47,832","±4,109","25,368","±2,753","229,786","±7,573","28,600","±3,054","22,996","±2,654","5,776","±1,534","6,073","±1,418","143,728","±6,880","64,134","±4,722","8,322","±1,400","7,600","±1,231","74,467","±4,342","38,944","±2,853","16,148","±1,901","14,181","±1,896","39,457","±3,400","36,551","±2,985","8,592","±1,100","34,122","±3,249","38,235","±3,573","76,129","±4,609","29,332","±2,567","22,027","±2,471","40,370","±3,037","7,066","±1,240","8,654","±1,229","19,462","±2,500","7,346","±1,381","42,220","±3,996","17,984","±2,167","141,914","±7,032","66,320","±4,546","3,733","±809","74,875","±4,782","29,264","±2,222","26,903","±2,636","80,805","±5,199","6,597","±1,607","37,509","±3,310","4,828","±881","47,017","±3,877","161,456","±6,951","8,971","±1,207","4,777","±1,058","42,579","±3,299","41,917","±4,522","17,162","±1,870","35,622","±2,678","3,148","±797","71,338","±3,696"
"            65 to 74 years","25,887","±2,490","2,334","±614","41,559","±3,534","15,152","±1,856","180,207","±7,398","21,802","±2,350","14,240","±2,257","4,748","±1,119","5,068","±1,182","130,072","±5,426","47,806","±3,485","7,333","±1,401","8,658","±1,580","54,323","±3,457","27,395","±2,653","12,932","±1,476","11,174","±1,645","24,183","±2,221","24,524","±2,365","6,915","±1,173","21,839","±2,348","30,102","±2,610","52,619","±3,231","22,931","±2,074","19,818","±1,866","29,216","±2,726","4,905","±1,018","6,827","±1,155","17,879","±2,203","4,719","±1,123","30,061","±3,062","14,031","±1,358","115,829","±6,632","47,170","±3,026","3,390","±878","53,906","±3,635","18,968","±1,593","22,982","±2,914","58,475","±3,768","5,146","±1,374","26,856","±2,437","2,951","±741","38,850","±2,877","122,045","±5,521","8,434","±1,442","3,343","±676","31,938","±2,683","31,398","±2,959","10,594","±1,457","27,380","±2,199","2,373","±747","61,666","±4,015"
"            75 years and over","13,204","±1,854","1,124","±395","23,736","±2,344","9,095","±1,350","110,801","±5,145","11,871","±1,644","10,796","±1,726","2,475","±834","1,598","±720","102,039","±4,846","27,762","±2,371","6,007","±1,324","4,850","±891","32,628","±2,918","15,173","±2,080","8,165","±1,289","7,188","±1,089","14,297","±1,653","14,868","±1,606","4,123","±701","13,828","±1,841","20,049","±2,064","28,745","±2,379","14,421","±1,490","11,257","±1,918","16,091","±1,499","3,177","±696","6,101","±1,108","9,551","±1,790","2,675","±784","27,094","±2,630","9,051","±1,511","75,962","±4,943","27,068","±2,904","1,486","±458","31,482","±2,485","12,190","±1,279","13,056","±1,681","39,495","±2,799","3,989","±1,126","14,984","±1,999","2,113","±483","20,918","±2,234","76,132","±4,575","5,055","±1,228","1,735","±465","21,465","±2,518","17,840","±1,955","6,808","±1,005","17,666","±1,853","1,500","±522","58,782","±3,390"
"        Female:","442,311","±16,221","36,450","±3,563","489,700","±18,073","261,283","±10,594","2,497,758","±43,409","287,224","±13,917","202,067","±11,495","60,104","±6,215","49,690","±5,717","1,486,703","±38,429","818,792","±22,237","74,853","±5,738","106,554","±7,999","790,134","±20,745","465,390","±14,429","194,151","±8,748","176,311","±8,760","407,777","±13,429","485,602","±17,714","79,122","±5,791","326,560","±12,973","398,676","±14,474","728,432","±18,241","286,329","±11,155","289,262","±11,869","397,214","±15,988","72,108","±4,678","107,211","±7,140","201,945","±12,586","56,042","±5,562","502,839","±15,856","201,686","±11,095","1,509,435","±30,015","756,636","±22,365","42,414","±3,248","859,541","±22,291","345,958","±9,400","272,227","±10,393","839,294","±20,380","68,775","±7,839","414,621","±15,603","56,280","±4,995","550,796","±19,848","2,267,191","±44,456","157,355","±9,293","31,970","±3,225","491,947","±16,879","442,364","±14,613","159,622","±7,224","334,440","±12,320","36,031","±4,223","698,785","±15,420"
"            Under 5 years","33,545","±3,639","3,570","±944","31,380","±3,656","19,112","±3,168","141,231","±7,251","15,993","±3,416","12,088","±2,096","5,610","±1,959","1,774","±1,255","85,854","±6,150","54,437","±4,963","4,216","±1,381","6,936","±1,337","47,506","±5,412","30,372","±3,922","14,704","±2,064","12,106","±1,671","28,037","±3,134","33,421","±3,750","2,649","±830","20,895","±3,664","20,297","±2,705","47,235","±4,823","15,659","±2,211","19,265","±3,268","25,100","±3,466","3,703","±990","6,720","±1,581","15,229","±3,142","2,339","±977","31,870","±3,463","13,248","±2,513","96,814","±5,590","51,810","±4,301","2,109","±578","61,855","±5,513","27,818","±2,508","14,897","±2,466","52,863","±5,158","3,683","±1,340","29,378","±3,556","3,443","±989","41,529","±4,511","189,054","±10,049","10,602","±1,797","1,016","±445","32,704","±3,279","27,444","±3,376","11,917","±2,041","20,343","±2,695","2,879","±1,089","27,578","±2,549"
"            5 years","5,919","±1,512","531","±318","6,196","±1,631","3,669","±1,812","31,292","±4,358","3,316","±1,088","2,617","±1,208","1,104","±693","997","±835","17,300","±3,033","11,196","±2,154","661","±371","2,431","±752","11,638","±2,308","7,186","±2,107","2,968","±1,016","1,840","±754","6,444","±1,526","6,726","±1,887","1,260","±826","3,688","±1,391","4,445","±1,604","10,365","±1,710","2,993","±1,036","3,586","±1,216","4,885","±1,195","631","±327","1,021","±480","3,108","±1,303","574","±476","4,450","±1,425","2,477","±1,063","17,883","±2,677","10,900","±2,319","190","±176","13,768","±2,140","6,119","±1,154","2,427","±1,097","11,321","±2,155","871","±711","4,249","±1,384","1,115","±595","11,366","±2,763","31,381","±3,712","2,894","±880","345","±255","5,088","±1,300","3,452","±1,036","1,068","±436","3,316","±1,098","280","±204","5,177","±1,394"
"            6 to 11 years","39,176","±3,983","2,629","±548","36,375","±3,992","23,516","±3,316","202,508","±10,762","19,794","±3,611","15,365","±2,618","5,073","±1,398","4,637","±2,080","103,228","±8,973","76,482","±6,213","5,982","±1,574","10,014","±2,106","67,621","±6,521","37,114","±4,001","17,901","±2,095","15,136","±2,507","34,146","±3,201","48,573","±5,212","5,089","±1,401","23,593","±3,675","27,575","±3,473","66,250","±4,868","24,834","±3,668","25,733","±3,598","30,079","±3,531","5,997","±1,480","9,242","±1,808","17,360","±3,386","3,228","±1,348","40,328","±4,828","19,957","±2,813","116,171","±8,763","67,877","±5,444","1,894","±644","73,919","±6,046","32,925","±2,705","15,464","±2,862","66,146","±5,896","5,982","±2,040","35,952","±3,878","5,619","±1,346","53,136","±5,046","238,288","±10,868","11,206","±1,967","1,578","±553","43,199","±4,035","34,744","±4,348","11,808","±1,793","26,975","±2,995","3,584","±1,093","43,161","±3,660"
