,total_police_killings,Population,killings_per_100k
total_police_killings,1.0,0.8960598567074463,0.09940732075806502
Population,0.8960598567074463,1.0,-0.22278203318983822
killings_per_100k,0.09940732075806502,-0.22278203318983822,1.0
