,total_police_killings,Population,killings_per_100k
count,50.0,52.0,50.0
mean,159.56,6502318.980769231,2.769206708932553
std,192.80847639932372,7401875.327806861,1.5629959664434863
min,6.0,584057.0,0.5474642368987246
25%,51.5,1916062.25,1.684607561872384
50%,125.0,4379756.0,2.4932805314148245
75%,171.5,7526728.0,3.30784436116409
max,1143.0,38965193.0,8.18210238411329
