State,Edu_Total:,Edu_10th grade,Edu_11th grade,"Edu_12th grade, no diploma",Edu_1st grade,Edu_2nd grade,Edu_3rd grade,Edu_4th grade,Edu_5th grade,Edu_6th grade,Edu_7th grade,Edu_8th grade,Edu_9th grade,Edu_Associate's degree,Edu_Bachelor's degree,Edu_Doctorate degree,Edu_GED or alternative credential,Edu_Kindergarten,Edu_Master's degree,Edu_No schooling completed,Edu_Nursery school,Edu_Professional school degree,Edu_Regular high school diploma,"Edu_Some college, 1 or more years, no degree","Edu_Some college, less than 1 year",Race_Total:,Race_American Indian and Alaska Native alone,Race_Asian alone,Race_Black or African American alone,Race_Native Hawaiian and Other Pacific Islander alone,Race_Some Other Race alone,Race_Two or More Races:,Race_White alone,"Race_Two races excluding Some Other Race, and three or more races",Race_Two races including Some Other Race,Emp_Total:,Emp_In labor force:,Emp_Not in labor force,Emp_Armed Forces,Emp_Civilian labor force:,Emp_Employed,Emp_Unemployed,Inc_Median household income in the past 12 months (in 2023 inflation-adjusted dollars),Pov_Total:,Pov_Income in the past 12 months at or above poverty level:,Pov_Income in the past 12 months below poverty level:,Pov_Female:,Pov_Male:,Pov_12 to 14 years,Pov_15 years,Pov_16 and 17 years,Pov_18 to 24 years,Pov_25 to 34 years,Pov_35 to 44 years,Pov_45 to 54 years,Pov_5 years,Pov_55 to 64 years,Pov_6 to 11 years,Pov_65 to 74 years,Pov_75 years and over,Pov_Under 5 years,state_abbr,total_police_killings,Population,killings_per_100k
New Hampshire,"1,030,965","9,193","13,245","10,835",86,27,169,672,544,"1,108","3,079","5,928","7,498","100,414","253,142","18,905","45,480",281,"123,644","5,320",11,"24,410","233,302","109,031","64,641","1,402,054","2,123","36,003","21,445",231,"17,190","97,883","1,227,179","40,391","57,492","1,184,596","787,493","397,103","1,470","786,023","765,872","20,151","96,838","1,362,544","1,264,609","97,935","56,042","41,893","1,617",524,"1,308","4,586","5,237","5,154","3,395",171,"7,346","2,935","4,719","2,675","2,226",NH,22.0,1402054,1.5691264387819586
New Jersey,"6,511,081","53,909","70,111","133,187","2,895","5,385","8,610","16,715","18,035","52,107","16,433","54,910","41,358","440,974","1,712,683","118,618","170,745","2,919","835,978","128,692","2,257","183,006","1,468,077","630,374","343,103","9,290,841","77,807","948,862","1,175,323","2,409","975,536","1,143,235","4,967,669","301,486","841,749","7,520,182","5,032,256","2,487,926","9,104","5,023,152","4,785,505","237,647","99,781","9,131,628","8,244,856","886,772","502,839","383,933","26,587","8,925","13,505","36,863","39,203","42,478","32,300","11,352","42,220","40,564","30,061","27,094","32,781",NJ,90.0,9290841,0.9686959447481664
New Mexico,"1,471,057","21,887","25,803","28,061",193,"1,816","3,942","3,207","4,536","22,296","4,149","12,844","23,525","134,035","257,431","37,870","70,744",552,"141,795","30,909",180,"28,465","298,709","219,045","99,063","2,114,371","197,425","38,718","42,385","3,406","275,715","552,050","1,004,672","89,860","462,190","1,723,938","1,010,975","712,963","15,539","995,436","947,670","47,766","62,268","2,075,116","1,706,447","368,669","201,686","166,983","10,422","2,715","7,049","20,290","15,721","18,178","14,729","3,063","17,984","18,958","14,031","9,051","14,792",NM,173.0,2114371,8.18210238411329
New York,"13,885,155","162,577","177,772","325,646","7,132","13,788","28,490","25,311","48,466","108,458","43,143","135,251","142,756","1,249,700","3,136,170","248,911","577,461","4,721","1,815,030","390,967","6,317","442,796","2,789,189","1,314,638","690,465","19,571,216","131,671","1,785,642","2,801,538","8,566","2,011,783","2,051,011","10,781,005","660,856","1,390,155","16,085,030","10,132,536","5,952,494","25,210","10,107,326","9,600,693","506,633","82,095","19,068,409","16,365,454","2,702,955","1,509,435","1,193,520","58,074","22,790","39,533","128,286","129,538","128,089","113,327","21,707","141,914","123,735","115,829","75,962","94,736",NY,146.0,19571216,0.7459935039294442
North Carolina,"7,487,552","111,314","105,374","117,100","2,642","5,278","11,890","4,303","13,087","45,412","23,089","57,475","92,772","754,196","1,718,641","126,761","308,910","2,602","752,751","111,400","2,118","156,768","1,522,804","953,515","487,350","10,835,491","112,791","361,232","2,183,004","5,332","619,020","904,247","6,649,865","434,242","470,005","8,792,430","5,555,824","3,236,606","105,918","5,449,906","5,230,146","219,760","70,804","10,549,944","9,200,642","1,349,302","756,636","592,666","37,161","15,834","21,603","73,579","58,285","58,643","50,966","11,098","66,320","69,465","47,170","27,068","55,474",NC,226.0,10835491,2.0857384312349114
North Dakota,"520,006","4,280","4,837","6,221",0,0,5,66,0,443,122,"5,156","2,630","71,744","121,205","7,814","18,361",0,"38,274","4,657",0,"7,181","108,220","81,820","36,970","783,926","34,505","11,814","24,479","1,664","12,173","52,232","647,059","30,544","21,688","622,500","432,302","190,198","10,147","422,155","410,066","12,089","76,525","755,048","681,207","73,841","42,414","31,427","1,032","1,046",226,"6,593","5,469","2,141","1,656",552,"3,733","2,637","3,390","1,486","1,466",ND,18.0,783926,2.2961350943839087
Ohio,"8,172,692","105,606","137,764","140,082",673,"2,087","3,552","2,812","3,996","12,749","11,428","76,648","62,707","748,317","1,578,402","118,069","312,475","1,495","762,453","100,173","1,970","159,121","2,285,512","968,399","576,202","11,785,935","21,255","302,758","1,407,391","5,172","217,018","802,614","9,029,727","493,916","308,698","9,520,298","6,042,703","3,477,595","15,203","6,027,500","5,784,101","243,399","67,769","11,479,820","9,951,916","1,527,904","859,541","668,363","39,013","13,481","24,705","83,387","74,381","66,428","60,645","10,519","74,875","76,253","53,906","31,482","59,288",OH,227.0,11785935,1.9260245368738245
Oklahoma,"2,684,421","42,151","51,228","47,175",552,"2,543","3,210","3,072","2,385","19,038","6,939","22,864","32,786","221,742","498,843","32,524","143,269",465,"191,800","42,144",565,"47,643","677,295","383,598","210,590","4,053,824","292,095","94,802","274,031","9,095","155,111","608,100","2,620,590","388,860","219,240","3,201,739","1,958,603","1,243,136","22,044","1,936,559","1,847,746","88,813","62,138","3,932,800","3,306,615","626,185","345,958","280,227","17,128","5,755","9,023","34,436","31,211","28,517","24,541","4,834","29,264","37,395","18,968","12,190","26,965",OK,224.0,4053824,5.525646895375823
Oregon,"3,050,675","29,945","32,885","57,668","1,467","1,859","4,328","2,836","4,499","18,603","4,044","12,393","27,483","284,196","715,933","63,852","140,911",734,"301,246","44,264","1,692","67,607","531,792","458,780","241,658","4,233,358","45,368","194,391","87,406","15,476","215,724","547,795","3,127,198","242,053","305,742","3,506,067","2,193,069","1,312,998","2,819","2,190,250","2,099,913","90,337","80,160","4,159,215","3,652,671","506,544","272,227","234,317","12,388","3,835","5,694","29,574","33,783","26,511","25,087","3,259","26,903","17,589","22,982","13,056","13,656",OR,130.0,4233358,3.070848248600756
Pennsylvania,"9,171,006","110,152","125,673","147,318","1,760","2,647","4,419","5,103","9,754","21,986","16,014","73,350","75,066","817,565","1,921,489","171,026","351,153","1,804","938,026","118,364","2,561","210,802","2,682,917","854,416","507,641","12,961,683","30,714","499,380","1,368,208","4,170","510,560","954,515","9,594,136","441,874","512,641","10,658,635","6,690,945","3,967,690","7,673","6,683,272","6,400,011","283,261","73,824","12,535,767","11,034,808","1,500,959","839,294","661,665","35,399","11,371","21,725","73,773","68,674","69,220","59,729","12,030","80,805","71,852","58,475","39,495","59,117",PA,167.0,12961683,1.2884129321786375
